Timestamp,TweetText,PopularityScore,SentimentScore
2018-02-13 10:29:54,"Rutte zal Zijlstra toch wel hebben gevraagd of zijn indianenverhalen op het partijcongres 2016 klopten? Wat zou Zijlstra toen hebben geantwoord? Ófwel Zijlstra heeft Rutte toen belazerd, óf Zijlstra en Rutte hebben sámen het VVD partijcongres belazerd.",1209,"{'neg': 0.875, 'neutral': 0.050000000000000044, 'pos': 0.125}"
2018-05-09 19:51:09,"Officieel EU statement ook ondertekend door VVD staatssecretaris @markharbers in Marrakech: https://t.co/D7yHFLIiFM. Immigratie bevorderen, mensen niet terugsturen, Afrika/Europa route aanmoedigen. Krankzinnig! Deze zelfmoordpolitiek moet NU stoppen! #FVD https://t.co/peymbvLRL6",1190,"{'neg': 0.734375, 'neutral': 0.5249999999999999, 'pos': 0.265625}"
2017-11-20 20:17:16,Hoogste tijd om het College voor de Mensenrechten op te heffen. https://t.co/Wph7NM3Bdl,1188,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2018-02-12 12:01:39,Dit verzin je niet. Dijkhoff is carnaval aan het vieren met Russische bontmuts op en niet bereikbaar voor commentaar. Rutte wist van de leugens van Halbe Zijlstra en houdt ook nu nog vol dat hij kan aanblijven. Ongelofelijk dat dit de grootste partij is van het land. https://t.co/UBOH1XPBLN,1177,"{'neg': 0.44999999999999996, 'neutral': 0.275, 'pos': 0.55}"
2018-06-05 11:12:18,"Beste @sybrandbuma, ik zag net je ongefundeerde en wanhopige aanval op #FVD terug bij @JinekLive gisteravond. Triest dat je de #MH17 nabestaanden voor je politieke spelletjes inzet. Onfris en onwaardig. Bah! https://t.co/Vxym60QhKb",1176,"{'neg': 0.56875, 'neutral': 0.1607142857142856, 'pos': 0.43125}"
2018-03-13 15:41:25,"Nu het Verenigd Koninkrijk uit de EU gaat stappen wordt het land steeds aantrekkelijker voor investeerders, bedrijven en ondernemers. Logisch, want eenmaal uit de EU ben je verlost van de verstikkende Brusselse regelzucht.  https://t.co/LZ9qcAqdQn",1174,"{'neg': 0.42500000000000004, 'neutral': 0.65, 'pos': 0.575}"
2018-10-01 20:36:56,"Als dit land je lief is...
https://t.co/3K0z8ag0tM #FVD https://t.co/poaYqNyZtB",1172,"{'neg': 0.18333333333333335, 'neutral': 0.033333333333333326, 'pos': 0.8166666666666667}"
2018-09-27 09:01:34,"“Als de bevolking te weten komt hoe gigantisch de verspilling gaat worden bij de uitvoering van het activistische Klimaatakkoord, dan zal een revolutie uitbreken.” https://t.co/06VWrqHUke",1171,"{'neg': 0.32499999999999996, 'neutral': 0.19999999999999996, 'pos': 0.675}"
2018-09-27 14:53:50,"Opnieuw vele miljarden door minister achtergehouden in die gigantische zwendel, dat absurde kartelproject, de zgn. “energietransitie”. De goedgelovige burger betaalt de rekening. Effect op het klimaat, als het er al is, zal volkomen verwaarloosbaar zijn. https://t.co/V9hP7KK9Mk",1169,"{'neg': 0.5775, 'neutral': 0.09999999999999998, 'pos': 0.4225}"
2018-09-11 09:09:36,Nog meer onthullingen over steun van kabinet-Rutte aan Syrische jihadisten. Ongelofelijk. Onderste steen moet nu boven. #FVD wil parlementair onderzoek.  https://t.co/sbkD9Sp1Sz,1165,"{'neg': 0.59, 'neutral': 0.28, 'pos': 0.41000000000000003}"
2017-12-05 13:16:07,"D66 probeert aandacht af te leiden van afschaffen referendum met idiote, potsierlijke leugens over #FVD. Wat een sneue, doorzichtige strategie. Jullie kiezers weten wel beter. When you go low, we go high. https://t.co/AjH5lfowmc",1163,"{'neg': 0.5266666666666666, 'neutral': 0.44999999999999996, 'pos': 0.47333333333333333}"
2017-12-24 09:31:17,Forum voor Democratie nu TWEEDE partij van het land in nieuwste peiling De Hond! https://t.co/KK5g0ODSDi,1162,"{'neg': 0.5, 'neutral': 1.0, 'pos': 0.5}"
2018-06-16 18:58:00,Naar aanleiding van het debat gister in #Groenlo hebben we vandaag weer honderden berichten van scholieren ontvangen die gebukt gaan onder linkse indoctrinatie en vooringenomenheid op school. Een klacht indienen bij de voorzitter van de VO-raad dan maar? Oh wacht... https://t.co/tZr1cHLafa,1161,"{'neg': 0.7041666666666666, 'neutral': 0.30000000000000004, 'pos': 0.2958333333333334}"
2017-12-18 10:28:25,Zou het iets te maken hebben met handelsverdrag CETA dat in dezelfde periode door D66 werd gesteund? https://t.co/S2d0PylF6q,1160,"{'neg': 0.5, 'neutral': 0.9, 'pos': 0.5}"
2017-11-30 10:33:52,"Ja mensen: acties hebben consequenties. Je kunt niet miljoenen mensen met een totaal andere cultuur, godsdienst, manier van leven, waardepatroon, enz. hierheen halen en dan denken dat zulks niet ingrijpende gevolgen zal hebben voor de Europese samenlevingen. #FVD https://t.co/wzumQ1NbPD",1152,"{'neg': 0.525, 'neutral': 0.48, 'pos': 0.475}"
